gross_pay_min,gross_pay_max,dependents,income_tax
0,1000000,1,0
1000000,2000000,1,9000
2000000,3000000,1,39000
3000000,4000000,1,95000
4000000,5000000,1,185000
5000000,6000000,1,300000
6000000,7000000,1,430000
7000000,8000000,1,580000
8000000,9000000,1,740000
9000000,10000000,1,910000
10000000,,1,1090000
0,1000000,2,0
1000000,2000000,2,5000
2000000,3000000,2,27000
3000000,4000000,2,72000
4000000,5000000,2,148000
5000000,6000000,2,248000
6000000,7000000,2,364000
7000000,8000000,2,498000
8000000,9000000,2,644000
9000000,10000000,2,802000
10000000,,2,968000
0,1000000,3,0
1000000,2000000,3,2000
2000000,3000000,3,17000
3000000,4000000,3,53000
4000000,5000000,3,116000
5000000,6000000,3,202000
6000000,7000000,3,305000
7000000,8000000,3,424000
8000000,9000000,3,555000
9000000,10000000,3,698000
10000000,,3,850000
0,1000000,4,0
1000000,2000000,4,0
2000000,3000000,4,9000
3000000,4000000,4,35000
4000000,5000000,4,87000
5000000,6000000,4,158000
6000000,7000000,4,247000
7000000,8000000,4,351000
8000000,9000000,4,468000
9000000,10000000,4,598000
10000000,,4,740000
